player_id,source_url,player_name,age,birth_date,position,bat_throw,height_weight,career,draft,season,team,earned_run_average,games,complete_games,shutouts,wins,losses,saves,holds,winning_percentage,batters_faced,innings_pitched_display,hits_allowed,home_runs_allowed,walks_allowed,hit_batters,strikeouts,runs_allowed,earned_runs,age_was_corrected,height_cm,weight_kg,innings_pitched_outs
10082,https://www.koreabaseball.com/Record/Retire/Pitcher.aspx?playerId=10082,황태환,30,1952-08-06,P,L/L,,한양대,,1982,OB,3.86,27,2,0,6,5,3,0,0.545,365,86 1/3,76,12,37,11,42,43,37,False,,,259
80620,https://www.koreabaseball.com/Record/Retire/Pitcher.aspx?playerId=80620,황규봉,29,1953-04-24,P,R/R,,고려대,,1982,삼성,2.47,48,8,2,15,11,11,0,0.577,864,222 1/3,189,11,34,6,99,78,61,False,,,667
82003,https://www.koreabaseball.com/Record/Retire/Pitcher.aspx?playerId=82003,선우대영,25,1957-09-12,P,L/L,,중앙대,,1982,OB,3.39,27,6,1,7,6,0,0,0.538,566,138,139,8,31,4,65,64,52,False,,,414
82009,https://www.koreabaseball.com/Record/Retire/Pitcher.aspx?playerId=82009,박영진,24,1958-07-27,P,R/R,,성균관대,,1982,삼성,8.64,5,0,0,0,0,1,0,,43,8 1/3,16,2,4,1,3,9,8,False,,,25
82122,https://www.koreabaseball.com/Record/Retire/Pitcher.aspx?playerId=82122,이길환,23,1959-07-15,P,R/R,,연세대,,1982,MBC,3.61,27,5,2,7,7,0,0,0.5,493,117 1/3,114,8,34,9,54,59,47,False,,,352
82156,https://www.koreabaseball.com/Record/Retire/Pitcher.aspx?playerId=82156,차준섭,26,1956-10-16,P,R/R,,휘문고-한양대,,1982,MBC,4.84,12,0,0,3,1,0,0,0.75,155,35 1/3,44,2,8,3,24,23,19,False,,,106
82175,https://www.koreabaseball.com/Record/Retire/Pitcher.aspx?playerId=82175,유종겸,26,1956-09-14,P,L/L,176cm/75kg,장충고-중앙대-MBC청룡,,1982,MBC,3.25,32,3,1,6,5,3,0,0.545,476,113 2/3,95,11,53,1,86,48,41,False,176,75,341
82205,https://www.koreabaseball.com/Record/Retire/Pitcher.aspx?playerId=82205,방기만,28,1954-05-15,P,R/R,,건국대,,1982,롯데,6.23,8,0,0,0,0,0,0,,90,17 1/3,26,1,13,1,4,16,12,False,,,52
82220,https://www.koreabaseball.com/Record/Retire/Pitcher.aspx?playerId=82220,최옥규,29,1953-07-17,P,R/R,,고려대,,1982,롯데,4.91,13,0,0,0,2,1,0,0.0,221,47 2/3,63,5,26,2,31,36,26,False,,,143
82234,https://www.koreabaseball.com/Record/Retire/Pitcher.aspx?playerId=82234,박철순,26,1956-03-12,P,R/R,,배명고-연세대,,1982,OB,1.84,36,15,2,24,4,7,0,0.857,871,224 2/3,151,7,67,6,108,60,46,False,,,674
82271,https://www.koreabaseball.com/Record/Retire/Pitcher.aspx?playerId=82271,계형철,29,1953-04-03,P,R/R,183cm/75kg,송림초-동인천중-중앙고-성균관대-OB,,1982,OB,4.88,21,3,1,4,4,0,0,0.5,416,90 1/3,73,6,76,2,43,59,49,False,183,75,271
82303,https://www.koreabaseball.com/Record/Retire/Pitcher.aspx?playerId=82303,김재현,23,1959-03-03,P,R/R,cm/kg,동산고,,1982,삼미,6.13,47,2,0,6,19,1,0,0.24,890,192 1/3,268,18,63,7,62,154,131,False,,,577
82499,https://www.koreabaseball.com/Record/Retire/Pitcher.aspx?playerId=82499,성낙수,25,1957-08-12,P,R/R,,경희대,,1982,삼성,2.81,28,5,0,8,3,2,0,0.727,500,125,119,15,23,6,56,44,39,False,,,375
82512,https://www.koreabaseball.com/Record/Retire/Pitcher.aspx?playerId=82512,천창호,28,1954-02-13,P,R/R,,경희대,,1982,롯데,3.83,37,8,1,7,13,0,0,0.35,724,173 2/3,173,18,52,7,92,85,74,False,,,521
82571,https://www.koreabaseball.com/Record/Retire/Pitcher.aspx?playerId=82571,노상수,24,1958-05-05,P,R/R,177cm/81kg,삼량진초-동성중-부산상고-고려대-롯데,,1982,롯데,2.94,44,12,2,14,19,2,0,0.424,954,232 1/3,216,18,59,10,141,97,76,False,177,81,697
82612,https://www.koreabaseball.com/Record/Retire/Pitcher.aspx?playerId=82612,김성한,24,1958-05-18,IF,R/R,178cm/85kg,군산중앙초-군산중-군산상고-동국대-해태,,1982,해태,2.79,26,3,1,10,5,1,0,0.667,438,106 1/3,88,6,45,6,49,44,33,False,178,85,319
82646,https://www.koreabaseball.com/Record/Retire/Pitcher.aspx?playerId=82646,한상연,18,1964-08-27,P,R/R,,춘천고,,1982,삼미,5.84,7,0,0,0,1,0,0,0.0,53,12 1/3,12,2,5,1,2,10,8,False,,,37
82664,https://www.koreabaseball.com/Record/Retire/Pitcher.aspx?playerId=82664,이진우,26,1956-03-18,P,L/L,,철도고,,1982,롯데,5.27,22,1,0,5,2,1,0,0.714,373,82,90,10,51,5,49,56,48,False,,,246
82665,https://www.koreabaseball.com/Record/Retire/Pitcher.aspx?playerId=82665,이윤섭,24,1958-03-01,P,L/L,,고려대,,1982,롯데,9.35,4,0,0,0,1,0,0,0.0,48,8 2/3,19,1,3,0,1,11,9,False,,,26
82667,https://www.koreabaseball.com/Record/Retire/Pitcher.aspx?playerId=82667,이선희,27,1955-02-14,P,L/L,178cm/79kg,명덕초-경북중-경북고-삼성-MBC,,1982,삼성,2.91,38,4,3,15,7,1,0,0.682,698,167,152,11,73,9,73,67,54,False,178,79,501
82698,https://www.koreabaseball.com/Record/Retire/Pitcher.aspx?playerId=82698,이상윤,22,1960-12-21,P,R/R,182cm/88kg,광주제일고-한양대-해태,,1982,해태,3.88,23,5,0,7,5,0,0,0.583,442,102,87,8,63,1,58,51,44,False,182,88,306
82699,https://www.koreabaseball.com/Record/Retire/Pitcher.aspx?playerId=82699,이광권,28,1954-06-28,P,R/R,,인천전문대,,1982,MBC,3.72,31,2,1,7,4,2,0,0.636,489,116,105,8,46,11,57,62,48,False,,,348
82700,https://www.koreabaseball.com/Record/Retire/Pitcher.aspx?playerId=82700,방수원,22,1960-01-04,P,R/R,,영남대,,1982,해태,3.85,34,2,0,6,7,1,0,0.462,664,154 1/3,164,10,48,8,63,84,66,False,,,463
82702,https://www.koreabaseball.com/Record/Retire/Pitcher.aspx?playerId=82702,신태중,27,1955-06-27,P,R/R,,고려대,,1982,해태,7.52,8,0,0,1,2,0,0,0.333,141,26 1/3,30,3,28,5,7,33,22,False,,,79
82775,https://www.koreabaseball.com/Record/Retire/Pitcher.aspx?playerId=82775,박상열,27,1955-08-05,P,R/R,172cm/68kg,서대전초-대전중-동대문상고-OB,,1982,OB,4.22,25,3,0,10,5,0,0,0.667,480,111,120,7,34,9,35,70,52,False,172,68,333
82778,https://www.koreabaseball.com/Record/Retire/Pitcher.aspx?playerId=82778,박석채,25,1957-08-26,P,R/R,,숭의실고,,1982,MBC,6.06,12,1,0,2,1,0,0,0.667,159,35 2/3,35,4,18,2,18,26,24,False,,,107
82904,https://www.koreabaseball.com/Record/Retire/Pitcher.aspx?playerId=82904,감사용,25,1957-03-23,P,L/L,,인천전문대,,1982,삼미,6.46,41,1,0,1,14,1,0,0.067,615,133 2/3,179,25,46,2,23,106,96,False,,,401
82954,https://www.koreabaseball.com/Record/Retire/Pitcher.aspx?playerId=82954,인호봉,24,1958-03-04,P,R/R,,인하대,,1982,삼미,6.56,38,3,0,5,10,2,0,0.333,636,133,149,19,96,19,41,129,97,False,,,399
82966,https://www.koreabaseball.com/Record/Retire/Pitcher.aspx?playerId=82966,오문현,29,1953-02-13,P,R/R,,영남대,,1982,삼미,4.85,22,1,0,2,10,0,0,0.167,459,102,115,11,34,14,22,69,55,False,,,306
82983,https://www.koreabaseball.com/Record/Retire/Pitcher.aspx?playerId=82983,김현홍,26,1956-02-13,P,R/R,,선린상고,,1982,OB,3.03,12,0,0,0,0,0,0,,135,29 2/3,30,0,21,0,10,10,10,False,,,89
82984,https://www.koreabaseball.com/Record/Retire/Pitcher.aspx?playerId=82984,박경호,31,1951-01-15,P,R/R,,인하대,,1982,삼미,6.75,12,0,0,0,1,0,0,0.0,107,22 2/3,29,3,15,1,5,20,17,False,,,68
82992,https://www.koreabaseball.com/Record/Retire/Pitcher.aspx?playerId=82992,강철원,24,1958-01-27,P,R/R,,동대문상고,,1982,OB,2.18,8,3,0,5,0,0,0,1.0,187,45 1/3,36,1,23,1,15,12,11,False,,,136
82993,https://www.koreabaseball.com/Record/Retire/Pitcher.aspx?playerId=82993,권영호,28,1954-01-23,P,L/L,,신암초-성광중-대건고-영남대-삼성,,1982,삼성,2.37,32,6,3,15,5,2,0,0.75,711,178 2/3,139,18,52,7,72,57,47,False,,,536
82995,https://www.koreabaseball.com/Record/Retire/Pitcher.aspx?playerId=82995,김덕열,27,1955-04-23,P,R/R,,마산상고,,1982,롯데,3.88,17,1,0,1,4,0,0,0.2,259,60 1/3,63,6,26,0,27,29,26,False,,,181
82996,https://www.koreabaseball.com/Record/Retire/Pitcher.aspx?playerId=82996,김동철,22,1960-06-05,P,R/R,,인하대,,1982,삼미,7.06,32,0,0,1,9,1,0,0.1,441,93,125,15,52,6,19,84,73,False,,,279
82997,https://www.koreabaseball.com/Record/Retire/Pitcher.aspx?playerId=82997,김문희,27,1955-03-23,P,R/R,,동아대,,1982,롯데,4.12,24,4,1,4,8,0,0,0.333,411,91 2/3,113,10,31,4,18,55,42,False,,,275
82998,https://www.koreabaseball.com/Record/Retire/Pitcher.aspx?playerId=82998,김시철,24,1958-11-24,P,R/R,,일본 박다고,,1982,MBC,3.18,2,0,0,1,0,0,0,1.0,25,5 2/3,2,0,9,0,0,2,2,False,,,17
82999,https://www.koreabaseball.com/Record/Retire/Pitcher.aspx?playerId=82999,김용남,24,1958-02-26,P,R/R,,한양대,,1982,해태,3.09,33,8,1,9,12,0,0,0.429,740,175,177,12,42,9,85,83,60,False,,,525
94490,https://www.koreabaseball.com/Record/Retire/Pitcher.aspx?playerId=94490,하기룡,27,1955-05-08,P,R/R,177cm/90kg,배재고,,1982,MBC,2.3,43,7,4,13,10,9,0,0.565,781,191 2/3,160,10,53,13,108,68,49,False,177,90,575
95853,https://www.koreabaseball.com/Record/Retire/Pitcher.aspx?playerId=95853,송진호,25,1957-08-16,P,R/R,,건국대,,1982,삼성,6.0,1,0,0,0,0,0,0,,14,3,3,0,1,1,2,2,2,False,,,9
95906,https://www.koreabaseball.com/Record/Retire/Pitcher.aspx?playerId=95906,강만식,25,1957-02-15,P,R/R,,고려대,,1982,해태,4.44,29,6,0,5,11,1,0,0.313,642,144,152,11,69,10,86,93,71,False,,,432
96471,https://www.koreabaseball.com/Record/Retire/Pitcher.aspx?playerId=96471,정순명,28,1954-06-30,P,R/R,,한양대,,1982,MBC,4.47,25,1,0,7,5,1,0,0.583,416,92 2/3,105,9,38,8,47,62,46,False,,,278
10082,https://www.koreabaseball.com/Record/Retire/Pitcher.aspx?playerId=10082,황태환,31,1952-08-06,P,L/L,,한양대,,1983,OB,2.65,39,0,0,6,6,14,0,0.5,449,105 1/3,105,11,40,5,60,46,31,False,,,316
10182,https://www.koreabaseball.com/Record/Retire/Pitcher.aspx?playerId=10182,황기선,25,1958-06-02,P,R/R,,유한공고,,1983,해태,2.31,19,0,0,4,4,1,0,0.5,265,66 1/3,50,3,14,7,35,27,17,False,,,199
80204,https://www.koreabaseball.com/Record/Retire/Pitcher.aspx?playerId=80204,정성만,28,1955-10-10,P,L/L,,성균관대,,1983,삼미,2.92,12,2,0,3,5,0,0,0.375,253,61 2/3,46,11,27,0,26,27,20,False,,,185
80620,https://www.koreabaseball.com/Record/Retire/Pitcher.aspx?playerId=80620,황규봉,30,1953-04-24,P,R/R,,고려대,,1983,삼성,3.67,30,5,1,6,4,3,0,0.6,548,130,136,10,36,10,45,66,53,False,,,390
82003,https://www.koreabaseball.com/Record/Retire/Pitcher.aspx?playerId=82003,선우대영,26,1957-09-12,P,L/L,,중앙대,,1983,OB,3.91,17,5,1,4,6,1,0,0.4,408,96 2/3,97,13,28,6,38,45,42,False,,,290
82122,https://www.koreabaseball.com/Record/Retire/Pitcher.aspx?playerId=82122,이길환,24,1959-07-15,P,R/R,,연세대,,1983,MBC,2.51,33,10,4,15,7,4,0,0.682,845,208 1/3,184,8,56,11,85,68,58,False,,,625
82156,https://www.koreabaseball.com/Record/Retire/Pitcher.aspx?playerId=82156,차준섭,27,1956-10-16,P,R/R,,휘문고-한양대,,1983,MBC,8.1,2,0,0,0,0,0,0,,15,3 1/3,1,1,3,1,2,4,3,False,,,10
82175,https://www.koreabaseball.com/Record/Retire/Pitcher.aspx?playerId=82175,유종겸,27,1956-09-14,P,L/L,176cm/75kg,장충고-중앙대-MBC청룡,,1983,MBC,2.4,34,4,0,8,7,5,0,0.533,560,139,103,8,50,5,74,45,37,False,176,75,417
82234,https://www.koreabaseball.com/Record/Retire/Pitcher.aspx?playerId=82234,박철순,27,1956-03-12,P,R/R,,배명고-연세대,,1983,OB,3.48,4,0,0,0,1,0,0,0.0,43,10 1/3,10,0,4,0,4,4,4,False,,,31
82271,https://www.koreabaseball.com/Record/Retire/Pitcher.aspx?playerId=82271,계형철,30,1953-04-03,P,R/R,183cm/75kg,송림초-동인천중-중앙고-성균관대-OB,,1983,OB,3.44,29,9,3,9,12,0,0,0.429,816,193 1/3,190,11,72,13,86,97,74,False,183,75,580
82303,https://www.koreabaseball.com/Record/Retire/Pitcher.aspx?playerId=82303,김재현,24,1959-03-03,P,R/R,cm/kg,동산고,,1983,삼미,3.31,12,0,0,2,1,0,0,0.667,201,49,47,1,14,2,11,24,18,False,,,147
82499,https://www.koreabaseball.com/Record/Retire/Pitcher.aspx?playerId=82499,성낙수,26,1957-08-12,P,R/R,,경희대,,1983,삼성,4.91,19,0,0,3,2,0,0,0.6,234,55,63,10,13,5,21,33,30,False,,,165
82512,https://www.koreabaseball.com/Record/Retire/Pitcher.aspx?playerId=82512,천창호,29,1954-02-13,P,R/R,,경희대,,1983,롯데,3.42,27,0,0,7,3,0,0,0.7,349,81 2/3,91,12,12,6,38,39,31,False,,,245
82571,https://www.koreabaseball.com/Record/Retire/Pitcher.aspx?playerId=82571,노상수,25,1958-05-05,P,R/R,177cm/81kg,삼량진초-동성중-부산상고-고려대-롯데,,1983,롯데,4.14,42,4,1,8,11,3,0,0.421,733,169 2/3,179,17,52,12,69,94,78,False,177,81,509
82612,https://www.koreabaseball.com/Record/Retire/Pitcher.aspx?playerId=82612,김성한,25,1958-05-18,IF,R/R,178cm/85kg,군산중앙초-군산중-군산상고-동국대-해태,,1983,해태,2.08,4,1,1,1,1,0,0,0.5,71,17 1/3,13,1,5,1,8,6,4,False,178,85,52
82664,https://www.koreabaseball.com/Record/Retire/Pitcher.aspx?playerId=82664,이진우,27,1956-03-18,P,L/L,,철도고,,1983,롯데,4.94,27,0,0,4,9,0,0,0.308,371,85 2/3,83,10,41,6,33,51,47,False,,,257
82665,https://www.koreabaseball.com/Record/Retire/Pitcher.aspx?playerId=82665,이윤섭,25,1958-03-01,P,L/L,,고려대,,1983,롯데,8.24,12,0,0,0,2,0,0,0.0,94,19 2/3,35,7,4,0,8,22,18,False,,,59
82667,https://www.koreabaseball.com/Record/Retire/Pitcher.aspx?playerId=82667,이선희,28,1955-02-14,P,L/L,178cm/79kg,명덕초-경북중-경북고-삼성-MBC,,1983,삼성,3.76,29,3,1,5,13,0,0,0.278,548,127,122,17,59,7,57,66,53,False,178,79,381
82698,https://www.koreabaseball.com/Record/Retire/Pitcher.aspx?playerId=82698,이상윤,23,1960-12-21,P,R/R,182cm/88kg,광주제일고-한양대-해태,,1983,해태,2.67,46,14,3,20,10,6,0,0.667,944,229 1/3,181,10,95,4,178,83,68,False,182,88,688
82699,https://www.koreabaseball.com/Record/Retire/Pitcher.aspx?playerId=82699,이광권,29,1954-06-28,P,R/R,,인천전문대,,1983,MBC,2.51,22,3,0,7,5,0,0,0.583,411,100 1/3,96,7,31,4,35,37,28,False,,,301
82700,https://www.koreabaseball.com/Record/Retire/Pitcher.aspx?playerId=82700,방수원,23,1960-01-04,P,R/R,,영남대,,1983,해태,4.88,32,1,0,3,5,3,0,0.375,434,94,101,5,49,9,30,62,51,False,,,282
82702,https://www.koreabaseball.com/Record/Retire/Pitcher.aspx?playerId=82702,신태중,28,1955-06-27,P,R/R,,고려대,,1983,해태,40.5,1,0,0,0,1,0,0,0.0,7,2/3,5,0,1,0,0,3,3,False,,,2
82703,https://www.koreabaseball.com/Record/Retire/Pitcher.aspx?playerId=82703,양일환,22,1961-06-10,P,R/R,178cm/80kg,대구초-대구중-대구상고-건국대-삼성,,1983,삼성,3.22,32,4,0,9,7,1,0,0.563,738,176 1/3,155,12,63,11,62,82,63,False,178,80,529
82775,https://www.koreabaseball.com/Record/Retire/Pitcher.aspx?playerId=82775,박상열,28,1955-08-05,P,R/R,172cm/68kg,서대전초-대전중-동대문상고-OB,,1983,OB,2.49,30,7,1,10,9,0,0,0.526,716,173 1/3,162,11,44,14,68,57,48,False,172,68,520
82778,https://www.koreabaseball.com/Record/Retire/Pitcher.aspx?playerId=82778,박석채,26,1957-08-26,P,R/R,,숭의실고,,1983,MBC,2.45,5,0,0,0,0,0,0,,51,11,12,1,8,0,4,4,3,False,,,33
82904,https://www.koreabaseball.com/Record/Retire/Pitcher.aspx?playerId=82904,감사용,26,1957-03-23,P,L/L,,인천전문대,,1983,삼미,2.92,6,0,0,0,0,0,0,,51,12 1/3,12,1,4,0,6,6,4,False,,,37
82954,https://www.koreabaseball.com/Record/Retire/Pitcher.aspx?playerId=82954,인호봉,25,1958-03-04,P,R/R,,인하대,,1983,삼미,4.26,10,0,0,1,2,0,0,0.333,159,38,36,6,16,2,14,22,18,False,,,114
82966,https://www.koreabaseball.com/Record/Retire/Pitcher.aspx?playerId=82966,오문현,30,1953-02-13,P,R/R,,영남대,,1983,삼미,5.26,13,0,0,1,3,0,0,0.25,154,37 2/3,35,6,14,6,12,24,22,False,,,113
82983,https://www.koreabaseball.com/Record/Retire/Pitcher.aspx?playerId=82983,김현홍,27,1956-02-13,P,R/R,,선린상고,,1983,OB,4.15,13,1,1,2,1,1,0,0.667,186,43 1/3,49,7,17,1,12,27,20,False,,,130
82992,https://www.koreabaseball.com/Record/Retire/Pitcher.aspx?playerId=82992,강철원,25,1958-01-27,P,R/R,,동대문상고,,1983,OB,6.32,17,1,0,4,2,0,0,0.667,275,62 2/3,72,12,23,7,21,44,44,False,,,188
82993,https://www.koreabaseball.com/Record/Retire/Pitcher.aspx?playerId=82993,권영호,29,1954-01-23,P,L/L,,신암초-성광중-대건고-영남대-삼성,,1983,삼성,3.2,32,5,0,6,10,7,0,0.375,556,135,113,7,48,6,49,58,48,False,,,405
82995,https://www.koreabaseball.com/Record/Retire/Pitcher.aspx?playerId=82995,김덕열,28,1955-04-23,P,R/R,,마산상고,,1983,롯데,6.23,9,0,0,0,1,0,0,0.0,102,21 2/3,27,6,9,4,10,17,15,False,,,65
82997,https://www.koreabaseball.com/Record/Retire/Pitcher.aspx?playerId=82997,김문희,28,1955-03-23,P,R/R,,동아대,,1983,롯데,3.48,34,5,0,8,10,0,0,0.444,649,155 1/3,154,12,53,3,46,70,60,False,,,466
82999,https://www.koreabaseball.com/Record/Retire/Pitcher.aspx?playerId=82999,김용남,25,1958-02-26,P,R/R,,한양대,,1983,해태,2.83,36,6,3,13,10,1,0,0.565,731,181 1/3,171,12,30,5,80,67,57,False,,,544
83171,https://www.koreabaseball.com/Record/Retire/Pitcher.aspx?playerId=83171,오영일,23,1960-02-06,P,R/R,184cm/82kg,창영초-배명중-배명고-인하대-MBC-태평양,,1983,MBC,2.91,36,7,0,10,9,4,0,0.526,704,173,147,8,59,8,69,62,56,False,184,82,519
83260,https://www.koreabaseball.com/Record/Retire/Pitcher.aspx?playerId=83260,장호연,23,1960-05-05,P,R/R,174cm/82kg,충암고-동국대-OB,,1983,OB,4.23,34,3,1,6,17,2,0,0.261,681,155 1/3,165,10,67,14,31,93,73,False,174,82,466
83272,https://www.koreabaseball.com/Record/Retire/Pitcher.aspx?playerId=83272,정선두,24,1959-06-06,P,R/R,,장충고,,1983,OB,2.6,15,1,1,3,1,0,0,0.75,215,52,47,6,20,2,9,19,15,False,,,156
83324,https://www.koreabaseball.com/Record/Retire/Pitcher.aspx?playerId=83324,이원국,34,1949-05-10,P,R/R,,고려대,,1983,MBC,4.42,8,1,0,1,1,0,0,0.5,171,38 2/3,46,1,14,2,6,25,19,False,,,116
83371,https://www.koreabaseball.com/Record/Retire/Pitcher.aspx?playerId=83371,임호균,27,1956-03-26,P,R/R,,인천고-동아대,,1983,삼미,3.03,35,15,1,12,15,2,0,0.444,954,234 2/3,231,16,52,6,86,94,79,False,,,704
83412,https://www.koreabaseball.com/Record/Retire/Pitcher.aspx?playerId=83412,김시진,25,1958-03-20,P,R/R,183cm/82kg,포항중앙초-포항중-대구상고-한양대-삼성-롯데,,1983,삼성,2.55,37,17,5,17,12,1,0,0.586,950,229 1/3,189,8,95,14,154,78,65,False,183,82,688
83470,https://www.koreabaseball.com/Record/Retire/Pitcher.aspx?playerId=83470,박동경,19,1964-03-03,P,R/R,,서울고,,1983,삼성,4.03,12,0,0,0,1,0,0,0.0,94,22 1/3,24,0,6,2,4,12,10,False,,,67
83539,https://www.koreabaseball.com/Record/Retire/Pitcher.aspx?playerId=83539,김현재,27,1956-06-04,P,L/L,,휘문고-고려대,,1983,해태,4.07,10,1,0,1,0,0,0,1.0,122,24 1/3,32,2,16,2,6,15,11,False,,,73
83540,https://www.koreabaseball.com/Record/Retire/Pitcher.aspx?playerId=83540,최동원,25,1958-05-24,P,R/R,179cm/95kg,부산구덕초-경남중-경남고-연세대-롯데-삼성,,1983,롯데,2.89,38,16,1,9,16,4,0,0.36,863,208 2/3,202,17,51,8,148,89,67,False,179,95,626
83561,https://www.koreabaseball.com/Record/Retire/Pitcher.aspx?playerId=83561,엄평재,23,1960-10-24,P,R/R,,전남고,,1983,해태,5.45,13,0,0,0,2,0,0,0.0,147,33,34,4,16,3,12,25,20,False,,,99
83570,https://www.koreabaseball.com/Record/Retire/Pitcher.aspx?playerId=83570,배경환,27,1956-07-08,P,R/R,,경남고-연세대,,1983,롯데,3.18,37,4,2,7,4,0,0,0.636,637,150,159,9,32,5,62,72,53,False,,,450
83588,https://www.koreabaseball.com/Record/Retire/Pitcher.aspx?playerId=83588,박정후,24,1959-12-22,P,L/L,,경남고-동아대,,1983,롯데,15.19,3,0,0,0,0,0,0,,29,5 1/3,5,0,6,3,1,10,9,False,,,16
83600,https://www.koreabaseball.com/Record/Retire/Pitcher.aspx?playerId=83600,주동식,35,1948-08-23,P,R/R,,일본 중앙대,,1983,해태,3.14,30,3,2,7,7,3,0,0.5,599,143 1/3,133,14,38,9,56,60,50,False,,,430
83738,https://www.koreabaseball.com/Record/Retire/Pitcher.aspx?playerId=83738,신계석,23,1960-09-05,P,R/R,,경희대,,1983,MBC,9.0,1,0,0,0,0,0,0,,13,2,5,0,1,0,0,3,2,False,,,6
83977,https://www.koreabaseball.com/Record/Retire/Pitcher.aspx?playerId=83977,유종천,27,1956-03-25,P,R/R,,배문고-성균관대,,1983,삼미,7.94,5,1,0,1,2,0,0,0.333,89,17,24,0,14,2,7,16,15,False,,,51
83992,https://www.koreabaseball.com/Record/Retire/Pitcher.aspx?playerId=83992,김상기,22,1961-03-03,P,L/L,,인천고-인하대,,1983,삼미,5.74,7,2,0,2,3,0,0,0.4,140,31 1/3,29,6,16,2,10,21,20,False,,,94
83999,https://www.koreabaseball.com/Record/Retire/Pitcher.aspx?playerId=83999,장명부,33,1950-12-27,P,R/R,,일본 오취서고,,1983,삼미,2.36,60,36,6,30,16,6,0,0.652,1712,427 1/3,388,19,106,16,220,138,112,False,,,1282
94490,https://www.koreabaseball.com/Record/Retire/Pitcher.aspx?playerId=94490,하기룡,28,1955-05-08,P,R/R,177cm/90kg,배재고,,1983,MBC,2.34,36,6,2,10,11,4,0,0.476,696,173 1/3,137,4,48,8,73,57,45,False,177,90,520
95853,https://www.koreabaseball.com/Record/Retire/Pitcher.aspx?playerId=95853,송진호,26,1957-08-16,P,R/R,,건국대,,1983,삼성,7.4,10,0,0,0,1,0,0,0.0,117,24 1/3,31,1,15,3,7,23,20,False,,,73
95906,https://www.koreabaseball.com/Record/Retire/Pitcher.aspx?playerId=95906,강만식,26,1957-02-15,P,R/R,,고려대,,1983,해태,2.78,22,1,1,6,4,0,0,0.6,387,94,83,5,22,5,51,42,29,False,,,282
96471,https://www.koreabaseball.com/Record/Retire/Pitcher.aspx?playerId=96471,정순명,29,1954-06-30,P,R/R,,한양대,,1983,MBC,3.62,13,0,0,4,3,0,0,0.571,259,59 2/3,56,7,28,5,19,30,24,False,,,179
10082,https://www.koreabaseball.com/Record/Retire/Pitcher.aspx?playerId=10082,황태환,32,1952-08-06,P,L/L,,한양대,,1984,OB,2.48,17,0,0,0,2,0,0,0.0,159,40,36,3,15,2,19,12,11,False,,,120
10182,https://www.koreabaseball.com/Record/Retire/Pitcher.aspx?playerId=10182,황기선,26,1958-06-02,P,R/R,,유한공고,,1984,해태,3.76,38,2,0,4,7,1,0,0.364,536,124 1/3,110,10,55,9,65,70,52,False,,,373
80204,https://www.koreabaseball.com/Record/Retire/Pitcher.aspx?playerId=80204,정성만,29,1955-10-10,P,L/L,,성균관대,,1984,삼미,4.86,29,3,0,8,10,1,0,0.444,666,150,149,20,83,6,67,86,81,False,,,450
80620,https://www.koreabaseball.com/Record/Retire/Pitcher.aspx?playerId=80620,황규봉,31,1953-04-24,P,R/R,,고려대,,1984,삼성,3.25,30,2,1,10,2,4,0,0.833,452,108,109,4,24,8,48,42,39,False,,,324
82009,https://www.koreabaseball.com/Record/Retire/Pitcher.aspx?playerId=82009,박영진,26,1958-07-27,P,R/R,,성균관대,,1984,삼성,18.0,1,0,0,0,0,0,0,,6,1,3,0,1,0,0,2,2,False,,,3
82122,https://www.koreabaseball.com/Record/Retire/Pitcher.aspx?playerId=82122,이길환,25,1959-07-15,P,R/R,,연세대,,1984,MBC,4.86,12,0,0,3,3,0,0,0.5,217,50,62,9,9,3,15,34,27,False,,,150
82175,https://www.koreabaseball.com/Record/Retire/Pitcher.aspx?playerId=82175,유종겸,28,1956-09-14,P,L/L,176cm/75kg,장충고-중앙대-MBC청룡,,1984,MBC,3.53,38,6,0,8,10,4,0,0.444,770,183 2/3,180,13,52,5,85,79,72,False,176,75,551
82271,https://www.koreabaseball.com/Record/Retire/Pitcher.aspx?playerId=82271,계형철,31,1953-04-03,P,R/R,183cm/75kg,송림초-동인천중-중앙고-성균관대-OB,,1984,OB,2.06,29,6,1,14,4,0,0,0.778,701,174 2/3,135,8,63,7,92,44,40,False,183,75,524
82303,https://www.koreabaseball.com/Record/Retire/Pitcher.aspx?playerId=82303,김재현,25,1959-03-03,P,R/R,cm/kg,동산고,,1984,삼미,4.32,24,0,0,3,4,0,0,0.429,385,89 2/3,95,10,31,6,43,53,43,False,,,269
82499,https://www.koreabaseball.com/Record/Retire/Pitcher.aspx?playerId=82499,성낙수,27,1957-08-12,P,R/R,,경희대,,1984,삼성,4.11,6,0,0,0,2,0,0,0.0,71,15 1/3,21,0,5,1,4,10,7,False,,,46
82512,https://www.koreabaseball.com/Record/Retire/Pitcher.aspx?playerId=82512,천창호,30,1954-02-13,P,R/R,,경희대,,1984,롯데,5.17,18,0,0,1,2,1,0,0.333,218,47,58,3,17,6,22,31,27,False,,,141
82664,https://www.koreabaseball.com/Record/Retire/Pitcher.aspx?playerId=82664,이진우,28,1956-03-18,P,L/L,,철도고,,1984,롯데,4.84,10,0,0,0,3,1,0,0.0,104,22 1/3,25,5,9,0,17,21,12,False,,,67
